a-Ketoglutarate_346_M0	2-Oxoglutaric acid	0.6783	0.6921	0.7223	0.6237	0.6261	0.6465	0.5677	0.5469	0.5377	0.5995	0.6066	0.6193	0.6163	0.6068	0.6237	0.2780	0.2907	0.2814	0.2172	0.1958	0.2381	0.3839		0.3890		0.2151	0.2193	0.2333	0.0933	0.2320	0.5734	0.5607	0.5165	0.5428	0.5747	0.5420	0.6008		0.6140	0.6369	0.6640	0.6560	0.6173	0.6343	0.6175	0.5924	0.5598	0.5826	0.6351	0.5845		0.1654	0.1742	0.1649	0.2604	0.2323	0.2314	0.2613	0.2821	0.2715	0.2480	0.2613	0.2493	0.2341	0.2410	0.2394	0.1495	0.1601	0.1595	0.2250	0.2269	0.2404
Glutamate_432_M2	Glutamic acid	0.1877	0.1820	0.1731	0.2145	0.2173	0.2118	0.2707	0.2642	0.2302	0.1955	0.1981	0.1976	0.2022	0.2072	0.1965	0.0644	0.0665	0.0651	0.0817	0.0802	0.0833	0.0767		0.0774		0.0722	0.0732	0.0738	0.0705	0.0751	0.1756	0.1810	0.1840	0.1808	0.1749	0.1866	0.1829		0.1849	0.1995	0.2004	0.2011	0.2113	0.2082	0.2131	0.2036	0.2082	0.2033	0.1751	0.1984	0.1861	0.0698	0.0712	0.0696	0.0542	0.0521	0.0523	0.0681	0.0729	0.0664	0.0728	0.0719	0.0721	0.0767	0.0755	0.0771	0.0759	0.0762	0.0771	0.0511	0.0562	0.0574
Glutamate_432_M3	Glutamic acid	0.0396	0.0368	0.0333	0.0465	0.0483	0.0434		0.0759	0.0677	0.0528	0.0536	0.0525	0.0474	0.0512	0.0444	0.1402	0.1443	0.1413	0.1670	0.1667	0.1672	0.1389		0.1398		0.1515	0.1542	0.1530	0.1495	0.1565	0.0601	0.0620	0.0650	0.0579	0.0570	0.0594	0.0485		0.0532	0.0464	0.0466	0.0461	0.0480	0.0452	0.0482	0.0563	0.0604	0.0562	0.0446	0.0555	0.0489	0.1517	0.1421	0.1483	0.1228	0.1226	0.1248	0.1273	0.1360	0.1231	0.1436	0.1479	0.1492	0.1631	0.1634	0.1651	0.1629	0.1641	0.1659	0.1140	0.1272	0.1277
Glutamate_432_M4	Glutamic acid	0.0562	0.0551	0.0500	0.0706	0.0706	0.0680			0.0925	0.0837	0.0820	0.0825	0.0741	0.0776	0.0730	0.0204	0.0195	0.0200	0.0214	0.0227	0.0200	0.0152		0.0144		0.0239	0.0233	0.0214	0.0233	0.0208	0.0902	0.0948	0.0992	0.1093	0.1016	0.1147	0.0791		0.0799	0.0697	0.0686	0.0677	0.0686	0.0679	0.0698	0.0804	0.0867	0.0824	0.0806	0.0914	0.0857	0.0258	0.0290	0.0266	0.0234	0.0231	0.0239	0.0235	0.0220	0.0229	0.0235	0.0211	0.0217	0.0209	0.0211	0.0207	0.0264	0.0253	0.0251	0.0255	0.0245	0.0235
Glutamate_432_M5	Glutamic acid	0.0300	0.0295	0.0266	0.0373	0.0372	0.0364	0.0112	0.0031	0.0529	0.0498	0.0503	0.0507	0.0450	0.0479	0.0450	0.4424	0.4200	0.4358	0.4385	0.4656	0.4152	0.2946		0.2910		0.4858	0.4715	0.4497	0.5073	0.4427	0.0638	0.0684	0.0797	0.0821	0.0764	0.0861	0.0527		0.0573	0.0408	0.0405	0.0383	0.0383	0.0372	0.0404	0.0494	0.0538	0.0514	0.0528	0.0605	0.0568	0.5313	0.5374	0.5333	0.5119	0.5320	0.5336	0.4866	0.4444	0.4923	0.4662	0.4482	0.4496	0.4304	0.4435	0.4255	0.5311	0.5203	0.5123	0.5757	0.5308	0.5247
Glutamine_431_M0	Glutamine			0.9948		0.9943	0.9942		0.1575	0.8553	0.9944	0.9946					0.1134	0.1273	0.1207	0.1214	0.1008		0.1517		0.1472		0.0935	0.0891	0.1233		0.1164			0.9945	0.9944											0.9941		0.9943	0.9946				0.0711	0.0613	0.0826	0.0846	0.0233	0.0715	0.0890	0.1079	0.0814	0.0763	0.0378	0.0908	0.1084		0.1149	0.0528	0.0653	0.0653	0.0832	0.0926	0.0892
Glutamine_431_M1	Glutamine																0.0089	0.0104	0.0097	0.0209	0.0174		0.0169		0.0172		0.0089	0.0083	0.0145		0.0144																						0.0054	0.0043	0.0055	0.0036	0.0144	0.0028	0.0054	0.0072		0.0060	0.0233	0.0074	0.0161		0.0166	0.0045	0.0048	0.0048	0.0037	0.0048	0.0082
Glutamine_431_M2	Glutamine																0.0154	0.0166	0.0158	0.0309	0.0277		0.0191		0.0180		0.0161	0.0152	0.0225		0.0220																						0.0107	0.0108	0.0116	0.0083	0.0137	0.0076	0.0137	0.0150	0.0201	0.0123	0.0222	0.0132	0.0214		0.0221	0.0093	0.0096	0.0100	0.0092	0.0103	0.0161
Glutamine_431_M3	Glutamine								0.0072	0.0196							0.0349	0.0380	0.0354	0.0666	0.0594		0.0359		0.0336		0.0351	0.0334	0.0478		0.0478																						0.0251	0.0227	0.0273	0.0201		0.0191	0.0271	0.0298	0.0191	0.0250		0.0288	0.0476		0.0492	0.0209	0.0223	0.0230	0.0211	0.0231	0.0344
Glutamine_431_M4	Glutamine			0.0042		0.0046	0.0049		0.0007	0.0055	0.0046	0.0044					0.0323	0.0305	0.0331	0.0300	0.0315		0.0301		0.0317		0.0332	0.0339	0.0308		0.0319			0.0046	0.0045											0.0047		0.0049	0.0044				0.0341	0.0345	0.0341	0.0333		0.0353	0.0334	0.0317	0.0307	0.0342		0.0340	0.0312		0.0322	0.0353	0.0346	0.0353	0.0339	0.0338	0.0325
Glutamine_431_M5	Glutamine			0.0010		0.0010	0.0009		0.8347	0.1195	0.0009	0.0010					0.7951	0.7771	0.7854	0.7302	0.7633		0.7463		0.7524		0.8132	0.8202	0.7611		0.7675			0.0009	0.0011											0.0012		0.0008	0.0010				0.8536	0.8664	0.8390	0.8502	0.9487	0.8637	0.8313	0.8084	0.8488	0.8460	0.9168	0.8258	0.7752		0.7650	0.8772	0.8634	0.8615	0.8487	0.8353	0.8196
Glycine_246_M0	Glycine	0.8050	0.8082	0.8221	0.7706	0.7741	0.7717	0.7737	0.7660	0.7648	0.8015	0.8000	0.8020	0.7675	0.7604	0.7697	0.9990	0.9976	0.9957	0.9985	0.9978	0.9973	0.9925		0.9947		0.9985	0.9969	0.9986	0.9986	0.9952	0.8465	0.8450	0.8428	0.9099	0.9085	0.9073	0.8349		0.8277	0.8539	0.8597	0.8529	0.7912	0.7862	0.7863	0.7719	0.7625	0.7749	0.8878	0.8710	0.8832	0.9991	0.9856	0.9906	0.9976	0.9995	0.9983	0.9997	0.9983	0.9991	0.9962	0.9992	0.9960	0.9978	0.9994	0.9967	0.9959	0.9987	0.9970	0.9994	0.9994	0.9999
Glycine_246_M1	Glycine	0.0095	0.0107	0.0096	0.0152	0.0133	0.0138	0.0203	0.0221	0.0229	0.0100	0.0094	0.0083	0.0130	0.0167	0.0158		0.0009	0.0025		0.0006	0.0010	0.0036		0.0031			0.0015			0.0029	0.0036	0.0017	0.0037	0.0019	0.0015	0.0034	0.0046		0.0074	0.0070	0.0051	0.0063	0.0114	0.0119	0.0120	0.0070	0.0104	0.0073	0.0028	0.0030	0.0010			0.0050									0.0018			0.0013	0.0023		0.0012			
Glycine_246_M2	Glycine	0.1856	0.1811	0.1684	0.2142	0.2126	0.2146	0.2059	0.2119	0.2123	0.1884	0.1906	0.1897	0.2196	0.2229	0.2145	0.0010	0.0015	0.0018	0.0015	0.0016	0.0016	0.0039		0.0022		0.0015	0.0016	0.0014	0.0014	0.0018	0.1500	0.1532	0.1534	0.0882	0.0900	0.0893	0.1605		0.1648	0.1391	0.1352	0.1409	0.1974	0.2019	0.2018	0.2211	0.2270	0.2178	0.1094	0.1261	0.1158	0.0009	0.0144	0.0044	0.0024	0.0005	0.0017	0.0003	0.0017	0.0009	0.0038	0.0008	0.0022	0.0022	0.0006	0.0021	0.0018	0.0013	0.0018	0.0006	0.0006	0.0001
Lactate_261_M0	Lactic acid	0.3107	0.3106	0.1377	0.3101	0.3101	0.3107	0.0681	0.3101	0.3103	0.3101	0.3107	0.1147	0.3107	0.3101	0.3102	0.9850	0.8472		0.9374	0.9354	0.4441	0.9373		0.9321		0.5098	0.8437	0.9341	0.9354	0.9337	0.3106	0.1123	0.1142	0.3107	0.0510	0.0480	0.1279		0.3107	0.1180	0.1278	0.1280	0.3101	0.3106	0.3106	0.0354	0.3101	0.1191	0.1270	0.1364	0.1285	0.9355		0.9329	0.9688	0.9744	0.9823	0.9755	0.9727	0.9782	0.9590	0.9724		0.9283	0.8266	0.8655	0.9369	0.5116	0.8365	0.9737	0.5147	0.9760
Lactate_261_M1	Lactic acid	0.2376	0.2376	0.0050	0.2371	0.2371	0.2376	0.0069	0.2371	0.2373	0.2371	0.2376	0.0051	0.2376	0.2371	0.2371	0.0086	0.1190		0.0285	0.0303	0.3397	0.0285		0.0347		0.3898	0.1159	0.0305	0.0310	0.0334	0.2376	0.0042	0.0041	0.2376	0.0390	0.0366	0.0041		0.2376	0.0053	0.0054	0.0054	0.2371	0.2376	0.2376	0.0270	0.2371	0.0048	0.0037	0.0048	0.0038	0.0294		0.0293	0.0084	0.0073	0.0104	0.0060	0.0086	0.0053	0.0081	0.0079		0.0318	0.1281	0.1038	0.0288	0.3912	0.1184	0.0052	0.3936	0.0070
Lactate_261_M2	Lactic acid	0.2237	0.2237	0.0347	0.2236	0.2236	0.2237	0.0268	0.2236	0.2236	0.2236	0.2237	0.0355	0.2237	0.2236	0.2236	0.0064	0.0300		0.0173	0.0181	0.2041	0.0158		0.0187		0.0928	0.0317	0.0178	0.0182	0.0188	0.2237	0.0330	0.0339	0.2237	0.0370	0.0349	0.0339		0.2237	0.0352	0.0325	0.0338	0.2236	0.2237	0.2237	0.0414	0.2236	0.0342	0.0337	0.0345	0.0314	0.0180		0.0172	0.0068	0.0062	0.0073	0.0062	0.0069	0.0057	0.0074	0.0068		0.0189	0.0348	0.0307	0.0177	0.0948	0.0337	0.0062	0.0917	0.0065
Lactate_261_M3	Lactic acid	0.2281	0.2281	0.8225	0.2292	0.2292	0.2281	0.8982	0.2292	0.2289	0.2292	0.2280	0.8446	0.2281	0.2291	0.2291		0.0039		0.0167	0.0162	0.0121	0.0184		0.0145		0.0075	0.0087	0.0176	0.0153	0.0141	0.2281	0.8505	0.8478	0.2280	0.8730	0.8805	0.8341		0.2280	0.8416	0.8343	0.8328	0.2292	0.2281	0.2281	0.8962	0.2292	0.8419	0.8356	0.8243	0.8363	0.0172		0.0206	0.0160	0.0122		0.0124	0.0118	0.0108	0.0254	0.0129		0.0211	0.0104		0.0165	0.0024	0.0114	0.0149		0.0105
Lysine_431_M0	Lysine		0.9758	0.9948		0.9851	0.9689	0.7720	0.9060	0.9411	0.9583	0.9851	0.8689	0.9661		0.9731	0.7572	0.9038	0.4255	0.8649	0.8445	0.9644			0.7556		0.9575	0.9552	0.8743		0.8139			0.9822	0.9942		0.9891	0.9917		0.9397						0.9832		0.9412	0.9869		0.9667	0.9875		0.9947	0.7986	0.9947	0.9863			0.9502	0.9315			0.5044					0.9511			0.9750	
Lysine_431_M1	Lysine																																																																								
Lysine_431_M2	Lysine		0.0007				0.0154		0.0072	0.0155			0.1252	0.0284		0.0217	0.2353	0.0915	0.0479	0.1292	0.1490	0.0302			0.0816		0.0381	0.0274	0.1202		0.1602			0.0021			0.0055	0.0028		0.0550						0.0002		0.0240			0.0277				0.0092					0.0445	0.0641			0.0305					0.0439			0.0104	
Lysine_431_M3	Lysine							0.0248																																																																	
Lysine_431_M4	Lysine		0.0020	0.0035		0.0032	0.0017					0.0025		0.0023		0.0024						0.0022					0.0014	0.0013						0.0023	0.0040		0.0030	0.0032		0.0013						0.0023			0.0033		0.0024	0.0032		0.0033		0.0040	0.0045			0.0017	0.0005								0.0015			0.0020	
Lysine_431_M5	Lysine		0	0.0017		0.0005	0.0012	0.0242	0.0113	0.0095	0.0053	0.0009	0.0059	0.0032		0.0028	0.0054	0.0047	0.0724	0.0060	0.0065	0.0032			0.0235		0.0031	0.0015	0.0055		0.0044			0.0009	0.0018		0.0023	0.0023		0.0040						0.0007		0.0051	0.0007		0.0032	0.0008		0.0019	0.0197	0.0013				0.0036	0.0039			0.0620					0.0035			0.0012	
Lysine_431_M6	Lysine		0.0215			0.0112	0.0127	0.1790	0.0755	0.0339	0.0363	0.0115					0.0021		0.4543						0.1394			0.0146			0.0214			0.0124												0.0137		0.0297	0.0091			0.0085			0.1726		0.0092							0.4031								0.0113	
Malate_419_M0	Malic acid	0.6185	0.6253	0.6352	0.5793	0.5707	0.5838	0.5404	0.5238	0.5133	0.5339	0.5316	0.5282	0.5676	0.5505	0.5677	0.4628	0.4602	0.4602	0.3415	0.3232	0.3514	0.4970		0.4971		0.3699	0.3739	0.3519	0.3228	0.3459	0.4828	0.4813	0.4748	0.4143	0.4188	0.4139	0.5111		0.5001	0.5650	0.5690	0.5722	0.5730	0.5765	0.5675	0.5271	0.5144	0.5219	0.4975	0.4821	0.4922	0.2614	0.2671	0.2665	0.4615	0.4505	0.4374	0.4516	0.4601	0.4599	0.4196	0.4293	0.4207	0.3659	0.3597	0.3630	0.2690	0.2722	0.2726	0.4145	0.4193	0.4243
Malate_419_M1	Malic acid	0.0284	0.0270	0.0250	0.0325	0.0348	0.0309	0.0415	0.0435	0.0443	0.0325	0.0328	0.0336	0.0305	0.0335	0.0296	0.0513	0.0588	0.0526	0.0868	0.0800	0.0931	0.0967		0.0979		0.0562	0.0590	0.0744	0.0634	0.0775	0.0393	0.0358	0.0375	0.0258	0.0273	0.0251	0.0289		0.0327	0.0310	0.0303	0.0305	0.0333	0.0305	0.0334	0.0368	0.0400	0.0370	0.0239	0.0301	0.0246	0.0579	0.0504	0.0528	0.0365	0.0333	0.0326	0.0369	0.0459	0.0341	0.0524	0.0588	0.0583	0.0841	0.0820	0.0840	0.0621	0.0638	0.0668	0.0306	0.0372	0.0378
Malate_419_M2	Malic acid	0.1529	0.1462	0.1399	0.1602	0.1659	0.1571	0.1905	0.1959	0.1995	0.1642	0.1686	0.1678	0.1547	0.1612	0.1506	0.1164	0.1216	0.1177	0.1597	0.1588	0.1607	0.1340		0.1337		0.1361	0.1376	0.1447	0.1421	0.1479	0.1836	0.1856	0.1823	0.1645	0.1678	0.1635	0.1561		0.1645	0.1622	0.1620	0.1634	0.1677	0.1630	0.1666	0.1874	0.1893	0.1859	0.1515	0.1666	0.1559	0.1499	0.1442	0.1447	0.1040	0.1027	0.1033	0.1118	0.1188	0.1077	0.1279	0.1276	0.1304	0.1519	0.1509	0.1531	0.1573	0.1583	0.1601	0.1021	0.1110	0.1117
Malate_419_M3	Malic acid	0.1634	0.1659	0.1669	0.1870	0.1869	0.1876	0.1680	0.1732	0.1761	0.2105	0.2080	0.2120	0.1981	0.2009	0.2026	0.1331	0.1237	0.1325	0.1410	0.1545	0.1324	0.0822		0.0810		0.1591	0.1556	0.1555	0.1817	0.1541	0.2126	0.2149	0.2173	0.2965	0.2879	0.2995	0.2441		0.2362	0.1927	0.1900	0.1874	0.1804	0.1858	0.1851	0.1873	0.1908	0.1919	0.2648	0.2489	0.2612	0.2095	0.2223	0.2205	0.1344	0.1358	0.1381	0.1629	0.1453	0.1655	0.1465	0.1337	0.1365	0.1241	0.1262	0.1231	0.1924	0.1866	0.1805	0.1625	0.1454	0.1440
Malate_419_M4	Malic acid	0.0369	0.0355	0.0330	0.0410	0.0418	0.0406	0.0596	0.0636	0.0668	0.0589	0.0590	0.0585	0.0491	0.0538	0.0494	0.2363	0.2358	0.2369	0.2710	0.2835	0.2625	0.1901		0.1903		0.2787	0.2738	0.2736	0.2899	0.2746	0.0817	0.0824	0.0881	0.0989	0.0981	0.0980	0.0598		0.0665	0.0492	0.0486	0.0465	0.0457	0.0442	0.0473	0.0614	0.0654	0.0632	0.0624	0.0723	0.0661	0.3212	0.3161	0.3156	0.2636	0.2778	0.2886	0.2368	0.2299	0.2329	0.2536	0.2506	0.2540	0.2740	0.2813	0.2768	0.3193	0.3192	0.3200	0.2903	0.2871	0.2823
Methionine_320_M0	Methionine	0.9880	0.9888	0.9889	0.9855	0.9834	0.9973	0.9712	0.9676	0.9677	0.9845	0.9858	0.9991	0.9829	0.9832	0.9829	0.9994	0.9992	1	0.9992	0.9993	0.9971	1		0.9993		0.9978	0.9994	0.9991		1	0.9901	0.9974	0.9908	0.9922	0.9928	0.9925	0.9984		0.9885	0.9882		0.9977	0.9841	0.9835	0.9824	0.9975	0.9837	0.9976	0.9930	0.9913	0.9973	0.9980	0.9978	0.9993	0.9992		1	0.9972	0.9982	0.9978	0.9994	0.9968	1	0.9993		1	0.9994	0.9996	1		0.9994	0.9977
Methionine_320_M1	Methionine							0.0099	0.0133	0.0122	0.0023																																			0.0002																											
Methionine_320_M2	Methionine																																																																								
Methionine_320_M3	Methionine	0.0011		0.0018	0.0005		0.0023	0.0004	0.0002	0.0006		0.0002		0.0024		0.0021		0.0003		0.0002		0.0025						0.0006	0.0004			0.0007		0.0001	0.0005			0.0011		0.0019	0.0018			0.0003	0.0011	0.0009		0.0020		0.0011	0.0014		0.0015							0.0013													
Methionine_320_M4	Methionine	0.0108	0.0112	0.0093	0.0140	0.0166		0.0184	0.0189	0.0196	0.0132	0.0123		0.0147	0.0168	0.0150																0.0091		0.0091	0.0073	0.0072	0.0075			0.0096	0.0100			0.0156	0.0154	0.0165		0.0143		0.0059	0.0073	0.0008							0.0008				0.0014										0.0002
Methionine_320_M5	Methionine						0.0004					0.0017	0.0009				0.0006	0.0005		0.0006	0.0007	0.0004			0.0007		0.0022		0.0005				0.0026					0.0005					0.0023				0.0025		0.0024			0.0019	0.0005	0.0022	0.0007	0.0008			0.0020	0.0005	0.0022	0.0006	0.0018		0.0007			0.0006	0.0004			0.0006	0.0021
NAA_460_M0		0.7421	0.7451	0.7392	0.7416		0.7606	0.6590	0.6529	0.6712	0.6336			0.7395	0.8704	0.7329	0.5984	0.6102	0.5811	0.5432	0.5043	0.5585	0.6002		0.5994		0.5971	0.4987			0.5349	0.7747			0.5435		0.5287	0.6504		0.6770	0.6733		0.7592	0.6938	0.6916	0.6780		0.6469		0.6090	0.6075		0.5868		0.5199	0.8782		0.6370	0.6423	0.6460		0.5656		0.5600	0.4465		0.4702	0.4471	0.4606	0.4341		0.6677	
NAA_460_M1		0.0161	0.0107	0.0236	0.0198		0.0265	0.0300	0.0312	0.0284	0.0278			0.0202	0.0029	0.0349	0.0196	0.0432	0.0306	0.0254	0.0329	0.0205	0.0576		0.0564			0.0434			0.0309				0.0167			0.0158		0.0102	0.0310			0.0209	0.0220	0.0267		0.0269		0.0161	0.0304				0.0104	0.0054		0.0432	0.0264	0.0221		0.0317		0.0294	0.0264		0.0381					0.0279	
NAA_460_M2		0.1173	0.1103	0.1227	0.1197		0.1317	0.1395	0.1426	0.1447	0.1381			0.1224	0.1267	0.1222	0.0884	0.0391	0.0886	0.0987	0.1090	0.1042	0.1057		0.1054		0.1161	0.1184			0.0828	0.1508			0.1334		0.1628	0.1212		0.1171	0.1398		0.1295	0.1381	0.1439	0.1477		0.1480		0.1345	0.1013				0.0899	0.1163			0.0675	0.0866		0.0840		0.0933	0.1386		0.1117	0.1373	0.1374	0.1522			
NAA_460_M3		0.1107	0.1204	0.1145	0.1032		0.0811	0.1358	0.1370	0.1291	0.1635			0.1179		0.1099	0.1151	0.1436	0.1185	0.1655	0.1672	0.1457	0.0887		0.0878		0.1235	0.1408			0.1569				0.2604		0.3046	0.1841		0.1898	0.1405		0.1112	0.1296	0.1326	0.1236		0.1409		0.2141	0.2607		0.2067		0.1478			0.0584	0.1419	0.1288		0.1406		0.1263	0.1632		0.1514	0.1992	0.2174	0.1911		0.0028	
NAA_460_M4		0.0138	0.0135		0.0157			0.0357	0.0363	0.0266	0.0371						0.1785	0.1639	0.1812	0.1672	0.1865	0.1711	0.1478		0.1510		0.1633	0.1986			0.1945	0.0745			0.0460		0.0039	0.0285		0.0059	0.0155			0.0176	0.0100	0.0241		0.0373		0.0264			0.2065		0.2319			0.2614	0.1219	0.1165		0.1781		0.1910	0.2254		0.2287	0.2163	0.1845	0.2226		0.3016	
Serine_390_M0	Serine	0.5642	0.5841	0.6209	0.4738	0.4811	0.4913	0.4912	0.4800	0.4714	0.5847	0.5767	0.5816	0.4754	0.4506	0.4911	1	1	1	0.9992	0.9996	0.9990	0.9961		1		0.9993	1	0.9984	0.9987	0.9996	0.6648	0.6582	0.6551	0.7622	0.7461	0.7594	0.6627		0.6420	0.6818	0.6881	0.6792	0.5016	0.4958	0.4908	0.5100	0.5008	0.5207	0.7474	0.6856	0.7288	0.9994	0.9759	0.9967	0.9983	0.9993	0.9993	0.9992	0.9995	0.9993	0.9946	0.9993	1	0.9979	0.9989	0.9986	0.9999	0.9997	0.9996	0.9994	0.9998	0.9997
Serine_390_M1	Serine	0.1972	0.1849	0.1650	0.2068	0.2070	0.1986	0.2198	0.2274	0.2312	0.1706	0.1752	0.1708	0.2082	0.2232	0.2003							0.0012									0.1255	0.1300	0.1303	0.0926	0.1026	0.0951	0.1209		0.1346	0.0843	0.0820	0.0859	0.2171	0.2188	0.2226	0.1930	0.1982	0.1866	0.0910	0.1239	0.1002		0.0064	0.0019																		
Serine_390_M2	Serine	0.1000	0.0991	0.0918	0.1009	0.0975	0.0977	0.1092	0.1108	0.1126	0.0980	0.0991	0.0985	0.0997	0.1025	0.0974							0.0016									0.0742	0.0747	0.0755	0.0458	0.0481	0.0468	0.0735		0.0785	0.0486	0.0477	0.0489	0.0996	0.1002	0.0999	0.1007	0.1025	0.0991	0.0524	0.0633	0.0553		0.0052	0.0014							0.0008						0.0001					
Serine_390_M3	Serine	0.1386	0.1319	0.1223	0.2185	0.2144	0.2124	0.1798	0.1819	0.1849	0.1467	0.1490	0.1491	0.2168	0.2236	0.2113				0.0008	0.0004	0.0010	0.0012		0		0.0007		0.0016	0.0013	0.0004	0.1355	0.1371	0.1392	0.0994	0.1033	0.0987	0.1429		0.1450	0.1854	0.1821	0.1860	0.1817	0.1851	0.1867	0.1962	0.1986	0.1936	0.1093	0.1271	0.1157	0.0006	0.0126	0.0001	0.0017	0.0007	0.0007	0.0008	0.0005	0.0007	0.0046	0.0007		0.0021	0.0011	0.0014		0.0003	0.0004	0.0006	0.0002	0.0003
Succinate_289_M0	Succinic acid	0.6922	0.7072	0.7586	0.6951	0.6749	0.6560	0.5675	0.5647	0.5400	0.6128	0.6507	0.6106	0.6442	0.6214	0.6366	0.3582	0.3441	0.3389	0.2835	0.2826	0.3663	0.4242		0.4319		0.2893	0.2825	0.2947	0.2501	0.2681	0.6323	0.5580	0.5346	0.7109	0.5817	0.6740	0.6838		0.6057	0.7008	0.6671	0.6775	0.6528	0.6888	0.6706	0.6036	0.5878	0.6255	0.6796	0.5985	0.4593	0.2174	0.2028	0.2546	0.3660	0.1789	0.2905	0.3748	0.4831	0.4580	0.3930	0.3112	0.3576	0.2916	0.2538	0.2585	0.1786	0.2404	0.1942	0.1624	0.3350	0.3611
Succinate_289_M1	Succinic acid	0.0161	0.0049	0.0261		0.0032	0.0315	0.0257	0.0236	0.0280	0.0193	0.0269	0.0551	0.0238	0.0396	0.0286	0.0665	0.0728	0.0555	0.1027	0.0971	0.1037	0.0996		0.1039		0.0870	0.0640	0.0751	0.0080	0.0939	0.0190	0.0539	0.0550		0.0337				0.0388	0.0075	0.0520	0.0614		0.0136	0.0438	0.0188	0.0193	0.0645	0.0106	0.0547	0.3856	0.0563	0.1029	0.0528	0.0503	0.0235	0.0466	0.0635	0.0690	0.0740	0.0621	0.2202	0.0576	0.1018	0.0282	0.0928	0.0688	0.0785	0.0850	0.0209	0.0369	0.0582
Succinate_289_M2	Succinic acid	0.1908	0.1845	0.1418	0.1905	0.2014	0.1960	0.2314	0.2298	0.2377	0.2083	0.1894	0.1895	0.2005	0.2139	0.1986	0.1219	0.1554	0.1507	0.1651	0.1568	0.1356	0.1661		0.1605		0.1309	0.1676	0.1582	0.1913	0.1757	0.1736	0.1950	0.2035	0.1263	0.1886	0.1379	0.1821		0.1961	0.1776	0.1829	0.1643	0.2181	0.1866	0.1780	0.2119	0.2178	0.1798	0.1751	0.1942	0.1551	0.1627	0.1630	0.1618	0.1248	0.7976	0.1298	0.1126	0.1203	0.0824	0.1243	0.1269	0.1537	0.1666	0.7180	0.1649	0.1908	0.1555	0.1810	0.8167	0.1140	0.1276
Succinate_289_M3	Succinic acid	0.0497	0.0474	0.0342	0.0562	0.0630	0.0563	0.0882	0.0932	0.0998	0.0652	0.0586	0.0613	0.0611	0.0573	0.0588	0.0231	0.0234	0.0258	0.0242	0.0318	0.0209	0.0180		0.0180		0.0311	0.0258	0.0258	0.0313	0.0270	0.0792	0.0859	0.0956	0.0489	0.0672	0.0572	0.0500		0.0596	0.0522	0.0498	0.0480	0.0638	0.0547	0.0503	0.0806	0.0884	0.0684	0.0496	0.0632		0.0305	0.0312	0.0304	0.0251		0.0263	0.0231	0.0201	0.0180	0.0224	0.0184	0.0243	0.0249		0.0231	0.0324	0.0358	0.0349		0.0244	0.0217
Succinate_289_M4	Succinic acid	0.0512	0.0560	0.0392	0.0581	0.0575	0.0601	0.0873	0.0887	0.0944	0.0944	0.0743	0.0834	0.0703	0.0678	0.0774	0.4302	0.4042	0.4290	0.4245	0.4316	0.3735	0.2921		0.2856		0.4617	0.4602	0.4462	0.5193	0.4353	0.0959	0.1071	0.1113	0.1139	0.1288	0.1309	0.0842		0.0999	0.0620	0.0482	0.0486	0.0653	0.0563	0.0573	0.0851	0.0867	0.0617	0.0851	0.0894		0.5331	0.5000	0.5005	0.4337		0.5068	0.4259	0.3076	0.3676	0.3981	0.3234	0.4069	0.4151		0.4608	0.5294	0.4898	0.5049		0.4898	0.4314
Valine_288_M0	Valine	0.9993	0.9996	0.9993	0.9998	0.9996	0.9993	0.9999	0.9998	0.9999	0.9996	0.9991	0.9996	0.9997	0.9997	1	0.9994	0.9998	0.9996	0.9995	0.9995	0.9992	1		0.9995		0.9991	0.9995	0.9990	0.9983	0.9997	0.9986	0.9980	0.9982	0.9993	0.9995	0.9995	0.9991		0.9991	0.9991	0.9975	0.9981	0.9996	0.9996	0.9998	0.9993	0.9997	0.9990	0.9995	0.9995	0.9982	0.9990	0.9988	0.9994	0.9989	0.9991	0.9993	0.9977	0.9982	0.9984	0.9990	0.9983	0.9992	0.9994	0.9983	0.9996	0.9997	0.9991	0.9993	0.9981	0.9985	0.9970
Valine_288_M1	Valine																																																																								
Valine_288_M2	Valine																												0					0.0002									0.0001											0.0001					0.0010	0													
Valine_288_M3	Valine	0.0004	0.0004	0.0005	0.0001	0.0003	0.0005		0.0001		0.0003	0.0008	0.0003	0.0001	0.0001	0	0.0005	0.0002	0.0003	0.0005	0.0005	0.0008	0		0.0003		0.0006	0.0005	0.0010	0.0016	0.0003	0.0012	0.0018	0.0013	0.0005	0.0004	0.0003	0.0006		0.0007	0.0007	0.0023	0.0017	0.0002	0.0002	0.0001	0.0007	0.0002	0.0010	0.0003	0.0005	0.0014	0.0008	0.0008	0.0005	0.0011	0.0007	0.0006	0.0011	0.0015	0.0013	0.0010	0.0014	0.0007	0.0006	0.0015	0.0004	0.0002	0.0008	0.0005	0.0019	0.0013	0.0026
Valine_288_M4	Valine	0.0002	0	0.0002	0.0001	0.0001	0.0003	0.0001	0.0001	0	0.0001	0.0002	0.0001	0.0002	0.0002	0	0.0001	0	0.0001			0.0001	0		0.0001					0.0001	0.0001	0.0002		0.0003	0.0002	0.0001	0.0002	0.0003		0.0002	0.0001		0.0002	0.0002	0.0002	0		0		0.0002	0	0.0003	0.0002		0			0		0.0002				0	0		0	0.0002	0	0.0002		0.0002	0.0004
