a-Ketoglutarate_346_M0	2-Oxoglutaric acid	0.6783	0.6921	0.7223	0.6237	0.6261	0.6465	0.5677	0.5469	0.5377	0.5995	0.6066	0.6193	0.6163	0.6068	0.6237	0.2780	0.2907	0.2814	0.2172	0.1958	0.2381	0.3839		0.3890		0.2151	0.2193	0.2333	0.0933	0.2320	0.5734	0.5607	0.5165	0.5428	0.5747	0.5420	0.6008		0.6140	0.6369	0.6640	0.6560	0.6173	0.6343	0.6175	0.5924	0.5598	0.5826	0.6351	0.5845		0.1654	0.1742	0.1649	0.2604	0.2323	0.2314	0.2613	0.2821	0.2715	0.2480	0.2613	0.2493	0.2341	0.2410	0.2394	0.1495	0.1601	0.1595	0.2250	0.2269	0.2404
Aspartate_418_M4	Aspartic acid	0.0357	0.0350	0.0317	0.0388	0.0389	0.0387	0.0600	0.0615	0.0638	0.0599	0.0602	0.0593	0.0516	0.0549	0.0525	0.2165	0.2165	0.2169	0.2267	0.2392	0.2099	0.1671		0.1663		0.2643	0.2630	0.2356	0.2502	0.2342	0.0727	0.0711	0.0827	0.0879	0.0844	0.0909	0.0545		0.0595	0.0479	0.0440	0.0457	0.0436	0.0426	0.0447	0.0544	0.0606	0.0555	0.0579	0.0655	0.0576	0.2958	0.2937	0.3025	0.2470	0.2637	0.2786	0.2198	0.2150	0.2118	0.2323	0.2272	0.2360	0.2421	0.2482	0.2501	0.2956	0.2907	0.2918	0.2702	0.2724	0.2639
BHB_275_M0	3-Hydroxybutyric acid	0.9991	0.9991	0.9989	1	0.4977	0.9989	1	1	1	0.9991	0.9988		0.9989	0.9990	1	0.9992	0.9992	1	0.9991	0.9991	0.9991	1		1			1	0.9990		0.9991	0.9987		0.9968	0.9990	0.9990	0.9990	0.9988		0.9989	0.9989		0.5233	1	0.9991	1	0.5402	0.9998		0.9990	0.9989		0.6679		1			0.9991	0.6743			0.7190		0.9993	0.9990		0.9991	0.9992	0.6793	0.9991		0.9989	
BHB_275_M1	3-Hydroxybutyric acid					0.1544																																					0.3433				0.3008						0.2414						0.3198			0.2495							0.2301				
BHB_275_M2	3-Hydroxybutyric acid					0.1879																																					0.1334				0.1010						0.0906									0.0310							0.0906				
BHB_275_M3	3-Hydroxybutyric acid																																	0.0001														0.0002																									
BHB_275_M4	3-Hydroxybutyric acid	0.0009	0.0009	0.0011		0.1600	0.0011				0.0009	0.0012		0.0011	0.0010		0.0008	0.0008		0.0009	0.0009	0.0009							0.0010		0.0009	0.0013		0.0031	0.0010	0.0010	0.0010	0.0012		0.0011	0.0011				0.0009		0.0580			0.0010	0.0011							0.0009	0.0059			0.0005		0.0007	0.0010		0.0009	0.0008		0.0009		0.0011	
Citrate_591_M0	Citric acid	0.2997	0.3058	0.3223	0.2974	0.2893	0.2963	0.2475	0.2357	0.2279	0.2554	0.2560	0.2513	0.2589	0.2522	0.2611	0.4756	0.4717	0.4720	0.3623	0.3437	0.3789	0.5233		0.5208		0.3698	0.3724	0.3867	0.3556	0.3835	0.2106	0.2001	0.1999	0.1832	0.1790	0.1974	0.2918		0.2842	0.2898	0.3036	0.2978	0.2770	0.2752	0.2706	0.2509	0.2371	0.2406	0.2612	0.2309	0.2412	0.2965	0.2835	0.2857	0.4542	0.4312	0.4188	0.4315	0.4350	0.4501	0.4146	0.4198	0.4083	0.3806	0.3738	0.3842	0.2619	0.2697	0.2730	0.4078	0.4026	0.4102
Citrate_591_M1	Citric acid	0.0187	0.0183	0.0152	0.0180	0.0179	0.0159	0.0221	0.0235	0.0225	0.0189	0.0189	0.0169	0.0155	0.0163	0.0160	0.0519	0.0572	0.0525	0.0830	0.0762	0.0890	0.0945		0.0977		0.0553	0.0584	0.0714	0.0629	0.0758	0.0132	0.0134	0.0108	0.0119	0.0135	0.0094	0.0156		0.0210	0.0196	0.0156	0.0185	0.0205	0.0197	0.0199	0.0112	0.0195	0.0189	0.0125	0.0151	0.0153	0.0577	0.0443	0.0528	0.0346	0.0325	0.0306	0.0312	0.0447	0.0292	0.0446	0.0560	0.0565	0.0823	0.0825	0.0819	0.0565	0.0603	0.0625	0.0244	0.0352	0.0366
Citrate_591_M2	Citric acid	0.3162	0.3167	0.3116	0.3002	0.3037	0.3040	0.2981	0.2961	0.2907	0.2838	0.2839	0.2881	0.2830	0.2801	0.2789	0.0626	0.0655	0.0604	0.0897	0.0896	0.0901	0.0638		0.0580		0.0777	0.0710	0.0807	0.0724	0.0759	0.2629	0.2641	0.2569	0.2449	0.2496	0.2398	0.2649		0.2588	0.2980	0.3014	0.2969	0.3124	0.3137	0.3091	0.2992	0.2919	0.2914	0.2660	0.2724	0.2733	0.0774	0.0935	0.0802	0.0552	0.0521	0.0561	0.0643	0.0668	0.0517	0.0763	0.0702	0.0687	0.0873	0.0859	0.0829	0.0898	0.0805	0.0847	0.0474	0.0511	0.0489
Citrate_591_M3	Citric acid	0.1165	0.1133	0.1147	0.1137	0.1160	0.1150	0.1189	0.1210	0.1244	0.1218	0.1248	0.1237	0.1179	0.1192	0.1159	0.1403	0.1375	0.1436	0.1636	0.1720	0.1587	0.1192		0.1230		0.1662	0.1689	0.1578	0.1727	0.1618	0.1273	0.1259	0.1280	0.1233	0.1288	0.1231	0.1243		0.1297	0.1178	0.1156	0.1199	0.1159	0.1156	0.1189	0.1228	0.1199	0.1220	0.1222	0.1289	0.1244	0.1851	0.1828	0.1851	0.1475	0.1515	0.1501	0.1604	0.1588	0.1615	0.1628	0.1562	0.1594	0.1493	0.1539	0.1525	0.1957	0.1970	0.1943	0.1575	0.1610	0.1630
