Gene,RawPValue,AdjustedPValue,Significant
A2M,0.739714680246978,0.999977713692555,0
NAT1,0.36927592367347,0.999977713692555,0
NAT2,0.658439988283856,0.999977713692555,0
SERPINA3,0.863522459174106,0.999977713692555,0
AADAC,0.234639629948489,0.999977713692555,0
AAMP,0.823226662008887,0.999977713692555,0
AANAT,0.141544351574026,0.999977713692555,0
AARS,0.243633705155796,0.999977713692555,0
ABAT,0.84863354348947,0.999977713692555,0
ABCA1,0.90587949105262,0.999977713692555,0
ABCA2,0.237106535445994,0.999977713692555,0
ABCA3,0.930813361091486,0.999977713692555,0
ABCB7,0.756553751670967,0.999977713692555,0
ABCF1,0.938017411633416,0.999977713692555,0
ABCA4,0.812548540511079,0.999977713692555,0
ABL1,0.659473212044944,0.999977713692555,0
AOC1,0.293351597148445,0.999977713692555,0
ABL2,0.35632222532455,0.999977713692555,0
ABO,0.3767843073199,0.999977713692555,0
ABR,0.232550784455857,0.999977713692555,0
ACAA1,0.99417405601506,0.999977713692555,0
ACACA,0.905064617463343,0.999977713692555,0
ACACB,0.688242039402332,0.999977713692555,0
ACADL,0.804811869395025,0.999977713692555,0
ACADM,0.760801807861419,0.999977713692555,0
ACADS,0.786789987344493,0.999977713692555,0
ACADSB,0.456207693979329,0.999977713692555,0
ACADVL,0.743795640409083,0.999977713692555,0
ACAT1,0.865497392141004,0.999977713692555,0
ACAT2,0.735795485031772,0.999977713692555,0
ASIC2,0.908344459910449,0.999977713692555,0
ASIC1,0.825691742714771,0.999977713692555,0
ACHE,0.86257522871213,0.999977713692555,0
ACLY,0.877490986513378,0.999977713692555,0
ACO1,0.725064750527765,0.999977713692555,0
ACO2,0.909094952480099,0.999977713692555,0
ACOX1,0.811235259988421,0.999977713692555,0
ACP1,0.837729780038264,0.999977713692555,0
ACP2,0.521298860506804,0.999977713692555,0
ACP5,0.436502632103815,0.999977713692555,0
ACPP,0.875686537332196,0.999977713692555,0
ACRV1,0.582584143091663,0.999977713692555,0
ACTA1,0.936602672517181,0.999977713692555,0
ACTA2,0.458622051364854,0.999977713692555,0
ACTB,0.987018256517794,0.999977713692555,0
ACTC1,0.951788536244665,0.999977713692555,0
ACTG1,0.522171242957753,0.999977713692555,0
ACTG2,0.929341507886356,0.999977713692555,0
ACTN4,0.760225533995102,0.999977713692555,0
ACTL6A,0.636030402731837,0.999977713692555,0
ACTN1,0.455146043827508,0.999977713692555,0
ACTN2,0.702861679069754,0.999977713692555,0
ACTN3,0.0504130376797567,0.999977713692555,0
ACVR1,0.651055703325857,0.999977713692555,0
ACVR1B,0.9792619178674,0.999977713692555,0
ACVR2A,0.899633856662941,0.999977713692555,0
ACVR2B,0.803573912697861,0.999977713692555,0
ACVRL1,0.710854156465061,0.999977713692555,0
ACYP1,0.340003174198505,0.999977713692555,0
ACYP2,0.498532546975039,0.999977713692555,0
ADA,0.358513491866862,0.999977713692555,0
ADAM8,0.289629714288123,0.999977713692555,0
ADAM10,0.540614339676172,0.999977713692555,0
ADAR,0.570613710543064,0.999977713692555,0
ADARB1,0.913861301564727,0.999977713692555,0
ADARB2,0.190974434590555,0.999977713692555,0
ADCY1,0.620568081635032,0.999977713692555,0
ADCY2,0.807314138663994,0.999977713692555,0
ADCY3,0.602972349614373,0.999977713692555,0
ADCY5,0.749464519698934,0.999977713692555,0
ADCY6,0.895612843576431,0.999977713692555,0
ADCY7,0.802599898616585,0.999977713692555,0
ADCY8,0.653945025666048,0.999977713692555,0
ADCY9,0.762510974160668,0.999977713692555,0
ADCYAP1,0.439340101638559,0.999977713692555,0
ADCYAP1R1,0.725081528180183,0.999977713692555,0
ADD1,0.724752718237243,0.999977713692555,0
ADD2,0.906759780889738,0.999977713692555,0
ADD3,0.923376655618518,0.999977713692555,0
PLIN2,0.738335443566894,0.999977713692555,0
ADH1A,0.145915969566743,0.999977713692555,0
ADH1B,0.887135254423534,0.999977713692555,0
ADH1C,0.591434222783716,0.999977713692555,0
ADH4,0.590474637563039,0.999977713692555,0
ADH5,0.396791991103616,0.999977713692555,0
ADH6,0.305750698465686,0.999977713692555,0
ADH7,0.707645084911536,0.999977713692555,0
ADK,0.549532508689425,0.999977713692555,0
ADM,0.587998228742724,0.999977713692555,0
ADORA1,0.297696507274413,0.999977713692555,0
ADORA2A,0.331382172322748,0.999977713692555,0
ADORA2B,0.956906685488674,0.999977713692555,0
ADORA3,0.298996976114939,0.999977713692555,0
ADPRH,0.488362123446409,0.999977713692555,0
PARP1,0.873370501905139,0.999977713692555,0
ADRA1D,0.399731789610306,0.999977713692555,0
ADRA1B,0.447941716036537,0.999977713692555,0
ADRA1A,0.499219912697192,0.999977713692555,0
